HourNum,elDemMul,ngDemMul
1,1.214244017,0.643823242
2,1.062463514,0.605057969
3,0.986573263,0.576283746
4,0.963806188,0.612251525
5,0.948628138,0.621842932
6,1.001751313,0.645821452
7,1.123175715,0.765314406
8,1.183887916,0.907986595
9,1.297723293,1.115001145
10,1.411558669,1.140977874
11,1.464681845,1.085027996
12,1.479859895,1.002701746
13,1.434325745,0.910384447
14,1.328079393,0.884407718
15,1.267367192,0.868821681
16,1.282545242,0.860029557
17,1.312901343,0.869221322
18,1.48744892,0.81247216
19,1.730297724,0.789692567
20,1.722708698,0.741735529
21,1.707530648,0.717357367
22,1.435843549,0.717357367
23,1.262813777,0.700972046
24,1.089784004,0.605457611
