t,pl,NormalizedError
1,1,0.6134
1,2,0.4445
1,3,0.8726
1,4,0.9523
1,5,0.1381
1,6,0.1314
1,7,0.9567
1,8,0.8635
1,9,0.7095
1,10,0.1811
1,11,0.363
1,12,0.6573
2,1,0.4607
2,2,0.2428
2,3,0.5687
2,4,0.8942
2,5,0.3094
2,6,0.89
2,7,0.3096
2,8,1.0
2,9,0.1943
2,10,0.2186
2,11,0.3187
2,12,0.8028
3,1,0.4331
3,2,0.091
3,3,0.5501
3,4,0.845
3,5,0.5355
3,6,0.9319
3,7,0.3786
3,8,1.0
3,9,0.1748
3,10,0.1883
3,11,0.2728
3,12,0.859
4,1,0.5129
4,2,0.0669
4,3,0.4802
4,4,0.8219
4,5,0.6194
4,6,0.946
4,7,0.7335
4,8,1.0
4,9,0.096
4,10,0.1078
4,11,0.1683
4,12,0.9
5,1,0.6079
5,2,0.1196
5,3,0.3891
5,4,0.8402
5,5,0.5972
5,6,0.5439
5,7,0.9103
5,8,0.9792
5,9,0.1754
5,10,0.0375
5,11,0.5136
5,12,0.9443
6,1,0.7393
6,2,0.4234
6,3,0.5263
6,4,0.9046
6,5,0.6379
6,6,0.7337
6,7,0.9401
6,8,0.9809
6,9,0.8239
6,10,0.7927
6,11,0.9224
6,12,0.5227
7,1,0.9702
7,2,0.9243
7,3,0.5909
7,4,0.9867
7,5,0.6223
7,6,0.9251
7,7,0.958
7,8,0.9926
7,9,0.9961
7,10,0.9953
7,11,0.9986
7,12,0.9914
8,1,0.9432
8,2,0.8693
8,3,0.3219
8,4,1.0
8,5,0.0193
8,6,0.9289
8,7,1.0
8,8,1.0
8,9,0.4632
8,10,0.0193
8,11,0.2557
8,12,0.0248
9,1,0.8837
9,2,0.826
9,3,0.2239
9,4,1.0
9,5,0.0137
9,6,0.9146
9,7,0.9976
9,8,1.0
9,9,0.2041
9,10,0.0291
9,11,0.1234
9,12,0.4256
10,1,0.3871
10,2,0.5166
10,3,0.2941
10,4,1.0
10,5,0.0545
10,6,0.1541
10,7,0.992
10,8,0.8522
10,9,0.2378
10,10,0.0615
10,11,0.8505
10,12,0.5983
11,1,0.3948
11,2,0.442
11,3,0.0558
11,4,0.5839
11,5,0.0654
11,6,0.3089
11,7,1.0
11,8,0.3615
11,9,0.2998
11,10,0.1381
11,11,0.7874
11,12,0.6794
12,1,0.4878
12,2,0.4053
12,3,0.0404
12,4,0.0611
12,5,0.0732
12,6,0.6573
12,7,0.1543
12,8,0.8299
12,9,0.1927
12,10,0.31
12,11,0.3479
12,12,0.6767
13,1,0.4552
13,2,0.3489
13,3,0.1515
13,4,0.1635
13,5,0.0826
13,6,0.672
13,7,0.3921
13,8,0.9843
13,9,0.1255
13,10,0.3689
13,11,0.0094
13,12,0.7011
14,1,0.1718
14,2,0.1864
14,3,0.049
14,4,0.6936
14,5,0.063
14,6,0.5819
14,7,1.0
14,8,1.0
14,9,0.0139
14,10,0.2956
14,11,0.9389
14,12,0.6648
15,1,0.0456
15,2,0.087
15,3,0.0312
15,4,0.0043
15,5,0.0837
15,6,0.1873
15,7,0.7609
15,8,0.7395
15,9,0.2333
15,10,0.4292
15,11,0.748
15,12,0.5501
16,1,0.1097
16,2,0.0606
16,3,0.1131
16,4,0.3002
16,5,0.0796
16,6,0.2736
16,7,0.4759
16,8,0.4738
16,9,0.2721
16,10,0.4914
16,11,0.723
16,12,0.5796
17,1,0.2035
17,2,0.054
17,3,0.3056
17,4,0.4167
17,5,0.0815
17,6,0.2999
17,7,0.7795
17,8,0.4935
17,9,0.2994
17,10,0.578
17,11,0.6068
17,12,0.5951
18,1,0.2393
18,2,0.0595
18,3,0.0838
18,4,0.4508
18,5,0.0795
18,6,0.3195
18,7,0.7214
18,8,0.0191
18,9,0.3245
18,10,0.5706
18,11,0.7788
18,12,0.6501
19,1,0.4063
19,2,0.0815
19,3,0.3956
19,4,0.3699
19,5,0.0705
19,6,0.382
19,7,0.9895
19,8,0.0159
19,9,0.3165
19,10,0.5777
19,11,0.7912
19,12,0.5519
20,1,0.5192
20,2,0.1038
20,3,0.5936
20,4,0.4565
20,5,0.0757
20,6,0.3797
20,7,0.6878
20,8,0.6756
20,9,0.4425
20,10,0.5775
20,11,0.8427
20,12,0.3302
21,1,0.3208
21,2,0.0505
21,3,0.5454
21,4,0.3778
21,5,0.0701
21,6,0.2729
21,7,0.9999
21,8,1.0
21,9,0.8775
21,10,0.5762
21,11,0.4808
21,12,0.2404
22,1,0.5657
22,2,0.0943
22,3,0.6434
22,4,0.2195
22,5,0.0721
22,6,0.1636
22,7,1.0
22,8,1.0
22,9,0.9318
22,10,0.6048
22,11,1.0
22,12,0.6173
23,1,0.2896
23,2,0.1694
23,3,0.6799
23,4,0.3572
23,5,0.0637
23,6,0.2573
23,7,1.0
23,8,1.0
23,9,0.9593
23,10,0.6036
23,11,0.3502
23,12,0.6724
24,1,0.3788
24,2,0.2427
24,3,0.7987
24,4,0.5817
24,5,0.1026
24,6,0.4428
24,7,1.0
24,8,1.0
24,9,0.9896
24,10,0.7055
24,11,0.9984
24,12,0.6763
