t,pl,NormalizedError
1,1,0.9825
1,2,0.9491
1,3,0.9793
1,4,0.9808
1,5,0.8935
1,6,0.9954
1,7,0.9987
1,8,0.9888
1,9,0.9053
1,10,0.8359
1,11,0.976
1,12,0.9975
2,1,0.9994
2,2,0.9942
2,3,0.9976
2,4,0.9995
2,5,0.9997
2,6,0.9996
2,7,0.9989
2,8,1.0
2,9,0.9989
2,10,0.9391
2,11,0.7756
2,12,0.9912
3,1,0.9945
3,2,0.9564
3,3,0.9979
3,4,0.9883
3,5,0.9947
3,6,0.9998
3,7,0.9994
3,8,0.9994
3,9,0.998
3,10,0.9902
3,11,0.9596
3,12,0.9936
4,1,0.9717
4,2,0.7836
4,3,0.9821
4,4,0.9469
4,5,0.9684
4,6,0.9992
4,7,1.0
4,8,1.0
4,9,0.9995
4,10,1.0
4,11,0.9825
4,12,0.7433
5,1,0.9554
5,2,0.7564
5,3,0.9702
5,4,0.6506
5,5,0.9803
5,6,0.9819
5,7,0.999
5,8,0.9709
5,9,0.9947
5,10,1.0
5,11,0.9919
5,12,0.9982
6,1,0.9583
6,2,0.9032
6,3,0.9446
6,4,0.234
6,5,0.9952
6,6,0.9998
6,7,0.9469
6,8,0.504
6,9,0.9943
6,10,0.9722
6,11,0.8773
6,12,0.9694
7,1,0.0
7,2,0.0
7,3,0.9951
7,4,0.0
7,5,0.0
7,6,0.9999
7,7,0.9958
7,8,0.0
7,9,0.9707
7,10,0.0
7,11,0.0
7,12,0.9987
8,1,0.0
8,2,0.0
8,3,0.9931
8,4,0.0
8,5,0.0
8,6,0.9691
8,7,0.0
8,8,0.0002
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
9,1,0.0
9,2,0.0
9,3,0.9853
9,4,0.0
9,5,0.0
9,6,0.8383
9,7,0.3864
9,8,0.7928
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
10,1,0.0
10,2,0.0
10,3,0.9717
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.9382
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
11,1,0.0
11,2,0.0
11,3,0.9195
11,4,0.0
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.9983
11,10,0.0
11,11,0.0
11,12,0.0
12,1,0.0
12,2,0.0
12,3,0.8837
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.9914
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,0.0
13,6,0.0
13,7,0.2947
13,8,0.944
13,9,0.0
13,10,0.0
13,11,0.0
13,12,0.0
14,1,0.0
14,2,0.0
14,3,0.6205
14,4,0.0
14,5,0.9637
14,6,0.9377
14,7,0.3497
14,8,0.8485
14,9,0.0
14,10,0.0
14,11,0.0
14,12,0.0
15,1,0.0
15,2,0.0
15,3,0.0
15,4,0.0
15,5,0.0
15,6,0.7852
15,7,0.9091
15,8,0.0
15,9,0.0
15,10,0.0
15,11,0.0
15,12,0.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.7843
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
17,1,0.0
17,2,0.0
17,3,0.0
17,4,0.0
17,5,0.0
17,6,0.9755
17,7,0.4322
17,8,0.0
17,9,0.0
17,10,0.0
17,11,0.0
17,12,0.0
18,1,0.0
18,2,0.0
18,3,0.0
18,4,0.0
18,5,0.0
18,6,0.9893
18,7,0.9554
18,8,0.0
18,9,0.0
18,10,0.0
18,11,0.0
18,12,0.0
19,1,0.0
19,2,0.0
19,3,0.0
19,4,0.0
19,5,0.0
19,6,0.9994
19,7,0.9853
19,8,0.0
19,9,0.0
19,10,0.0
19,11,0.0
19,12,0.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.9749
20,7,0.9867
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
20,12,0.0
21,1,0.0
21,2,0.0
21,3,0.0
21,4,0.0
21,5,0.0
21,6,0.9386
21,7,0.0
21,8,0.0
21,9,0.0
21,10,0.0
21,11,0.0
21,12,0.0
22,1,0.0
22,2,0.0
22,3,0.0
22,4,0.0
22,5,0.0
22,6,0.0992
22,7,0.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
22,12,0.0
23,1,0.7899
23,2,0.0486
23,3,0.0
23,4,0.9145
23,5,0.0
23,6,0.6005
23,7,0.0
23,8,0.8453
23,9,0.0
23,10,0.9844
23,11,0.0
23,12,0.0
24,1,0.7875
24,2,0.5841
24,3,0.0
24,4,0.5994
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.8918
24,9,0.9937
24,10,0.0
24,11,0.0
24,12,0.0
