t,pl,NormalizedError
1,1,1.1278
1,2,1.215
1,3,1.1428
1,4,0.9249
1,5,1.2352
1,6,1.0632
1,7,0.9971
1,8,1.1043
1,9,1.216
1,10,0.6103
1,11,1.1499
1,12,1.0405
2,1,0.9774
2,2,0.9323
2,3,1.0433
2,4,0.9851
2,5,1.0124
2,6,0.9918
2,7,1.0292
2,8,0.9999
2,9,0.9667
2,10,0.7535
2,11,1.4236
2,12,1.0595
3,1,0.9353
3,2,0.8339
3,3,0.9597
3,4,0.9212
3,5,0.9543
3,6,0.9939
3,7,1.0217
3,8,0.9995
3,9,1.0455
3,10,1.0993
3,11,1.1803
3,12,1.0384
4,1,0.881
4,2,0.7072
4,3,0.8851
4,4,0.7951
4,5,0.8813
4,6,0.9888
4,7,1.0023
4,8,1.0
4,9,1.0205
4,10,1.0007
4,11,1.1304
4,12,1.3826
5,1,0.9193
5,2,0.8466
5,3,0.8569
5,4,0.4106
5,5,0.899
5,6,1.0562
5,7,1.0276
5,8,1.0209
5,9,1.0728
5,10,0.9929
5,11,0.9115
5,12,0.9703
6,1,0.9837
6,2,0.9797
6,3,0.8074
6,4,0.5215
6,5,0.977
6,6,1.0074
6,7,1.1677
6,8,0.445
6,9,1.0651
6,10,0.8338
6,11,0.6516
6,12,0.8415
7,1,0.9984
7,2,0.9966
7,3,0.9409
7,4,0.9398
7,5,1.0
7,6,0.992
7,7,1.0438
7,8,1.0013
7,9,1.1695
7,10,1.0
7,11,0.9999
7,12,1.0258
8,1,0.9767
8,2,0.9311
8,3,0.9296
8,4,1.983
8,5,0.9062
8,6,0.832
8,7,1.387
8,8,0.0063
8,9,1.7406
8,10,0.3343
8,11,1.4098
8,12,0.7221
9,1,0.9216
9,2,0.7689
9,3,0.8905
9,4,1.8474
9,5,0.591
9,6,0.6202
9,7,1.1929
9,8,0.5896
9,9,1.8574
9,10,0.264
9,11,0.5109
9,12,0.1395
10,1,0.8692
10,2,0.6215
10,3,0.8388
10,4,1.7278
10,5,0.0406
10,6,0.0153
10,7,1.0644
10,8,1.9537
10,9,0.2024
10,10,0.0003
10,11,0.0383
10,12,0.3118
11,1,1.3947
11,2,0.855
11,3,0.7209
11,4,1.4057
11,5,0.0083
11,6,0.012
11,7,1.5216
11,8,1.9273
11,9,0.9599
11,10,0.0486
11,11,0.1614
11,12,0.3632
12,1,1.3999
12,2,0.8194
12,3,0.6681
12,4,1.2878
12,5,0.0558
12,6,0.1222
12,7,1.2855
12,8,1.0672
12,9,1.9997
12,10,0.0275
12,11,0.0057
12,12,0.4273
13,1,1.2101
13,2,0.8085
13,3,0.6576
13,4,1.5643
13,5,0.0746
13,6,0.342
13,7,1.2051
13,8,1.1613
13,9,1.8736
13,10,0.6523
13,11,0.0001
13,12,0.4623
14,1,0.9041
14,2,1.0226
14,3,0.5491
14,4,0.0975
14,5,0.825
14,6,0.7554
14,7,1.1698
14,8,1.2427
14,9,1.8532
14,10,0.0914
14,11,1.2105
14,12,0.1475
15,1,0.9064
15,2,0.7826
15,3,0.4986
15,4,1.9813
15,5,0.0
15,6,0.5734
15,7,1.0689
15,8,1.5387
15,9,1.5659
15,10,0.0157
15,11,1.9786
15,12,0.3825
16,1,0.9475
16,2,0.7535
16,3,0.2924
16,4,1.2883
16,5,0.0513
16,6,0.5382
16,7,0.172
16,8,1.5683
16,9,0.2339
16,10,0.2072
16,11,1.3927
16,12,0.5249
17,1,1.1017
17,2,1.2005
17,3,0.044
17,4,0.6581
17,5,0.0446
17,6,1.1544
17,7,1.1779
17,8,1.548
17,9,1.9749
17,10,0.2422
17,11,1.1015
17,12,0.5495
18,1,1.021
18,2,0.8377
18,3,0.0466
18,4,0.3047
18,5,0.0851
18,6,0.8983
18,7,1.0462
18,8,1.5269
18,9,1.09
18,10,0.4073
18,11,1.787
18,12,0.5709
19,1,1.2239
19,2,1.0649
19,3,0.053
19,4,0.1486
19,5,0.1109
19,6,0.9773
19,7,1.0226
19,8,1.4769
19,9,0.9205
19,10,0.5434
19,11,1.0337
19,12,0.6028
20,1,1.9691
20,2,1.3833
20,3,0.3759
20,4,0.0042
20,5,0.138
20,6,0.8438
20,7,0.9824
20,8,1.4376
20,9,1.941
20,10,0.6308
20,11,0.5266
20,12,0.4112
21,1,1.7694
21,2,1.8291
21,3,1.8008
21,4,0.1695
21,5,0.1869
21,6,0.7523
21,7,0.0399
21,8,1.4118
21,9,1.6731
21,10,0.7334
21,11,0.0
21,12,0.0
22,1,1.7386
22,2,1.7605
22,3,1.8567
22,4,0.0553
22,5,0.1716
22,6,1.9218
22,7,1.1291
22,8,1.3723
22,9,1.697
22,10,0.7937
22,11,0.0
22,12,0.0
23,1,1.1014
23,2,1.4581
23,3,1.4951
23,4,1.2348
23,5,0.1463
23,6,0.6494
23,7,1.1458
23,8,1.0804
23,9,1.2166
23,10,1.0205
23,11,0.0
23,12,0.0
24,1,1.1195
24,2,1.1968
24,3,1.24
24,4,0.4177
24,5,0.0278
24,6,0.4988
24,7,1.1608
24,8,0.9647
24,9,1.0082
24,10,0.0
24,11,0.0
24,12,1.0
